"date"	"matchup"	"team"	"min"	"tpm"	"tpa"	"oreb"	"dreb"	"ast"	"stl"	"blk"	"to"	"pf"	"pts"	"HA"
20041102	"HOU@DET"	"HOU"	240	6	13	9	27	8	4	5	16	24	79	-1
20041102	"HOU@DET"	"DET"	240	6	18	13	29	20	9	5	12	22	87	1
20041102	"SAC@DAL"	"SAC"	240	3	17	18	25	21	9	6	15	19	98	-1
20041102	"SAC@DAL"	"DAL"	240	7	16	13	30	27	11	8	14	23	107	1
20041102	"DEN@LAL"	"DEN"	240	3	12	16	32	17	10	8	16	21	78	-1
20041102	"DEN@LAL"	"LAL"	240	5	17	10	37	23	8	9	19	22	89	1
20041103	"IND@CLE"	"IND"	290	4	17	11	36	24	9	5	13	28	109	-1
20041103	"IND@CLE"	"CLE"	290	3	8	11	34	23	3	8	14	24	104	1
20041103	"MIL@ORL"	"MIL"	240	2	7	17	37	18	6	5	17	24	92	-1
20041103	"MIL@ORL"	"ORL"	240	2	13	8	36	20	7	10	13	22	93	1
20041103	"HOU@TOR"	"HOU"	240	5	16	8	30	16	4	2	15	22	88	-1
20041103	"HOU@TOR"	"TOR"	240	6	18	12	28	22	8	2	13	16	95	1
20041103	"PHI@BOS"	"PHI"	240	9	24	14	27	20	9	2	16	26	98	-1
20041103	"PHI@BOS"	"BOS"	240	5	17	10	25	23	9	3	19	27	95	1
20041103	"MIA@BRK"	"MIA"	240	8	16	10	32	24	5	6	11	27	100	-1
20041103	"MIA@BRK"	"BRK"	240	2	8	8	28	19	5	3	14	29	77	1
20041103	"WAS@MEM"	"WAS"	240	5	15	17	29	22	11	9	18	26	103	-1
20041103	"WAS@MEM"	"MEM"	240	4	17	19	26	25	10	5	20	30	91	1
20041103	"NYK@MIN"	"NYK"	240	6	11	11	35	22	11	2	12	20	93	-1
20041103	"NYK@MIN"	"MIN"	240	8	16	4	42	27	1	7	17	21	99	1
20041103	"DAL@NOP"	"DAL"	240	9	19	8	28	25	8	4	11	26	106	-1
20041103	"DAL@NOP"	"NOP"	240	4	21	16	26	22	4	2	15	17	91	1
20041103	"SAC@SAS"	"SAC"	240	3	8	9	27	19	8	4	14	21	85	-1
20041103	"SAC@SAS"	"SAS"	240	7	18	18	36	19	8	6	16	22	101	1
20041103	"ATL@PHX"	"ATL"	240	5	15	27	27	14	9	4	24	24	82	-1
20041103	"ATL@PHX"	"PHX"	240	5	19	17	38	15	13	8	21	26	112	1
20041103	"POR@GSW"	"POR"	240	5	15	10	39	21	6	7	16	17	78	-1
20041103	"POR@GSW"	"GSW"	240	2	10	13	32	24	5	4	12	18	75	1
20041103	"OKC@LAC"	"OKC"	240	9	22	15	22	17	4	1	11	27	84	-1
20041103	"OKC@LAC"	"LAC"	240	5	9	7	31	33	6	5	8	21	114	1
20041103	"LAL@UTZ"	"LAL"	240	5	18	13	24	7	4	7	14	32	78	-1
20041103	"LAL@UTZ"	"UTZ"	240	2	7	11	32	24	4	14	12	31	104	1
20041104	"WAS@CHA"	"WAS"	240	5	15	11	24	21	14	5	12	25	103	-1
20041104	"WAS@CHA"	"CHA"	240	1	8	14	28	22	6	5	19	27	96	1
20041104	"CLE@MIA"	"CLE"	240	3	13	9	29	19	5	3	6	25	86	-1
20041104	"CLE@MIA"	"MIA"	240	3	11	8	33	15	5	8	8	20	92	1
20041104	"MIN@DEN"	"MIN"	265	3	9	11	39	28	5	9	14	24	92	-1
20041104	"MIN@DEN"	"DEN"	265	3	14	19	34	25	9	6	11	22	94	1
20041105	"PHX@PHI"	"PHX"	240	11	28	16	27	25	11	2	15	23	108	-1
20041105	"PHX@PHI"	"PHI"	240	6	21	15	31	21	10	2	23	25	98	1
20041105	"DET@TOR"	"DET"	240	4	12	19	26	24	7	4	14	18	89	-1
20041105	"DET@TOR"	"TOR"	240	7	20	17	30	24	6	6	13	21	101	1
20041105	"IND@BOS"	"IND"	240	6	13	13	39	19	8	4	20	24	100	-1
20041105	"IND@BOS"	"BOS"	240	4	14	3	28	23	7	10	11	25	94	1
20041105	"HOU@MEM"	"HOU"	240	9	17	12	31	20	6	9	19	29	89	-1
20041105	"HOU@MEM"	"MEM"	240	6	18	14	26	16	10	6	18	22	81	1
20041105	"ORL@NOP"	"ORL"	240	4	11	16	32	16	8	7	18	21	90	-1
20041105	"ORL@NOP"	"NOP"	240	7	20	9	27	24	12	4	15	27	89	1
20041105	"BRK@CHI"	"BRK"	290	4	13	9	41	27	6	10	30	30	111	-1
20041105	"BRK@CHI"	"CHI"	290	12	34	20	26	21	8	4	19	34	106	1
20041105	"LAC@POR"	"LAC"	240	2	12	12	20	21	8	9	17	17	81	-1
20041105	"LAC@POR"	"POR"	240	4	8	12	30	24	14	13	13	15	94	1
20041105	"UTZ@GSW"	"UTZ"	240	2	7	7	34	28	4	6	16	23	102	-1
20041105	"UTZ@GSW"	"GSW"	240	5	15	12	19	17	8	2	13	24	80	1
20041105	"SAS@LAL"	"SAS"	240	6	19	16	25	28	11	6	11	23	105	-1
20041105	"SAS@LAL"	"LAL"	240	6	15	14	32	17	8	6	18	26	96	1
20041105	"ATL@OKC"	"ATL"	240	5	10	11	17	14	6	2	18	26	85	-1
20041105	"ATL@OKC"	"OKC"	240	7	23	13	21	17	11	10	15	27	106	1
20041106	"ORL@CHA"	"ORL"	240	4	16	20	27	13	8	6	18	36	100	-1
