"date"	"matchup"	"team"	"min"	"tpm"	"tpa"	"oreb"	"dreb"	"ast"	"stl"	"blk"	"to"	"pf"	"pts"	"HA"
20171209	"PHI@CLE"	"PHI"	240	11	33	7	32	31	10	2	19	21	98	-1
20041219	"ORL@MIA"	"MIA"	240	8	17	7	27	24	5	1	9	20	117	1
20090203	"CHI@HOU"	"HOU"	240	6	20	12	34	19	6	9	11	20	107	1
20110211	"NOP@ORL"	"ORL"	240	5	21	7	34	21	8	6	16	21	93	1
20210203	"WAS@MIA"	"MIA"	240	12	35	9	35	24	11	2	13	21	100	1
20070312	"HOU@PHX"	"PHX"	240	9	15	10	40	18	3	6	10	13	103	1
20150201	"LAL@NYK"	"NYK"	240	10	22	11	30	18	7	3	10	21	92	1
20090303	"MEM@LAL"	"MEM"	240	7	14	15	30	19	3	10	19	18	89	-1
20191104	"POR@GSW"	"GSW"	240	10	26	8	39	28	4	4	10	17	127	1
20131030	"BRK@CLE"	"CLE"	240	5	15	16	32	21	7	3	11	20	98	1
20130109	"DAL@LAC"	"DAL"	240	6	18	10	24	21	10	3	13	17	93	-1
20120222	"NOP@CLE"	"NOP"	240	2	10	20	36	22	5	9	13	26	89	-1
20120312	"CHA@NOP"	"NOP"	240	5	12	9	28	23	9	6	17	11	71	1
20131101	"POR@DEN"	"DEN"	240	6	18	20	35	14	6	5	4	19	98	1
20081103	"SAC@PHI"	"PHI"	240	10	13	11	23	24	8	4	14	19	125	1
20140311	"BOS@IND"	"IND"	240	4	16	8	35	22	5	4	16	22	94	1
20081213	"ORL@UTZ"	"UTZ"	240	8	18	17	29	25	11	4	22	23	94	1
20081118	"DAL@CHA"	"DAL"	240	4	17	12	38	20	5	9	17	22	100	-1
20050202	"DEN@POR"	"DEN"	240	7	16	17	25	18	9	5	10	20	94	-1
20091212	"LAL@UTZ"	"UTZ"	240	7	18	8	27	29	7	1	15	23	102	1
20041128	"BRK@POR"	"BRK"	240	2	11	10	30	16	4	6	11	26	71	-1
20060303	"DEN@HOU"	"DEN"	240	3	17	20	31	15	11	5	16	17	78	-1
20110318	"BOS@HOU"	"BOS"	240	1	10	6	29	19	8	4	13	21	77	-1
20210429	"GSW@MIN"	"GSW"	240	15	38	4	30	28	10	7	10	21	114	-1
20151117	"MIN@MIA"	"MIN"	240	4	21	15	39	14	12	5	8	26	103	-1
20150128	"WAS@PHX"	"WAS"	240	8	18	15	35	13	2	3	13	16	98	-1
20170318	"SAS@MEM"	"MEM"	240	13	30	7	28	20	7	3	10	18	104	1
20151212	"BOS@CHA"	"BOS"	240	9	25	3	39	26	5	5	5	13	98	-1
20171020	"ORL@BRK"	"BRK"	240	9	27	15	33	22	13	6	18	17	126	1
20110301	"NOP@TOR"	"NOP"	240	6	13	7	29	17	3	3	11	22	90	-1
20070213	"DAL@MIL"	"MIL"	240	5	10	11	27	22	5	0	11	24	93	1
20100403	"OKC@DAL"	"OKC"	240	5	14	10	24	22	11	1	13	23	121	-1
20200306	"ATL@WAS"	"ATL"	240	12	32	6	30	25	9	4	17	25	112	-1
20080325	"NOP@IND"	"NOP"	240	6	15	8	29	20	11	6	9	20	114	-1
20170301	"HOU@LAC"	"HOU"	240	20	52	19	43	21	3	2	16	17	122	-1
20161109	"DET@PHX"	"DET"	240	9	22	9	32	20	11	5	11	24	100	-1
20120111	"MIA@LAC"	"LAC"	265	6	17	10	35	22	7	8	15	22	95	1
20090114	"WAS@NYK"	"NYK"	240	14	26	19	14	27	9	2	10	21	128	1
20140313	"HOU@CHI"	"CHI"	240	14	24	10	29	35	8	4	7	24	111	1
20181127	"TOR@MEM"	"MEM"	240	10	29	11	24	27	9	5	13	23	114	1
20200310	"NYK@WAS"	"WAS"	240	14	35	9	28	23	8	4	16	25	122	1
20110202	"DAL@NYK"	"NYK"	240	6	23	5	29	20	12	6	8	14	97	1
20160314	"DET@WAS"	"WAS"	240	8	18	5	35	34	11	3	10	22	124	1
20140111	"BRK@TOR"	"TOR"	240	11	25	16	33	16	8	6	12	21	96	1
20070401	"MIA@DET"	"MIA"	240	6	15	11	27	20	5	0	15	20	88	-1
20041218	"WAS@PHX"	"WAS"	240	9	25	12	35	21	8	2	19	17	96	-1
20200209	"UTZ@HOU"	"UTZ"	240	15	38	10	38	25	2	4	15	14	114	-1
20090207	"DET@MIL"	"DET"	265	10	18	15	29	31	6	3	12	28	126	-1
20051223	"NOP@MIL"	"NOP"	240	5	14	15	31	18	6	1	9	23	94	-1
20171028	"PHX@POR"	"PHX"	240	9	26	12	34	21	12	7	17	23	107	-1
20061217	"HOU@LAC"	"HOU"	240	8	17	7	25	24	5	1	9	27	108	-1
20130313	"MIA@PHI"	"MIA"	240	5	20	10	29	25	7	6	13	10	98	-1
20080406	"HOU@LAC"	"LAC"	240	1	6	7	26	24	8	8	10	20	79	1
20160316	"MIN@MEM"	"MEM"	240	4	20	27	24	22	3	8	10	21	108	1
20091103	"UTZ@DAL"	"DAL"	240	7	18	15	35	18	8	12	15	17	96	1
20141205	"IND@SAC"	"IND"	265	6	26	9	34	18	10	5	8	33	101	-1
20210225	"LAC@MEM"	"MEM"	240	11	19	7	41	27	7	1	6	17	122	1
20041124	"POR@ORL"	"ORL"	240	5	13	14	33	23	7	9	18	17	83	1
20171130	"CLE@ATL"	"ATL"	240	12	31	8	21	24	9	4	17	20	114	1
20050320	"HOU@MIN"	"HOU"	240	4	18	18	25	13	7	3	8	24	86	-1
20121102	"HOU@ATL"	"HOU"	240	8	30	23	35	22	8	2	21	18	109	-1
20050327	"PHI@LAL"	"PHI"	240	5	22	14	31	27	15	5	12	22	96	-1
20130308	"OKC@CHA"	"CHA"	240	7	23	14	23	25	3	6	8	15	94	1
20101119	"SAS@UTZ"	"UTZ"	240	3	14	5	26	20	5	3	14	23	82	1
20160128	"ATL@IND"	"IND"	240	9	15	10	39	20	10	8	16	17	111	1
20071109	"SAS@NOP"	"SAS"	240	4	15	7	35	19	6	6	10	17	97	-1
20070223	"DET@ORL"	"DET"	240	6	17	12	27	15	10	6	15	25	94	-1
20190304	"LAC@LAL"	"LAL"	240	10	38	7	33	22	2	6	12	21	105	1
20060315	"MIN@LAL"	"LAL"	240	4	19	15	30	18	4	4	17	15	92	1
20101103	"DET@ATL"	"ATL"	240	3	14	3	32	25	3	3	13	13	94	1
20060215	"CLE@BOS"	"CLE"	290	6	19	10	37	23	7	5	10	31	113	-1
20130114	"CHA@BOS"	"BOS"	240	8	21	14	28	27	6	8	14	21	100	1
20041111	"DAL@MIA"	"MIA"	240	6	19	18	23	14	8	7	10	22	93	1
20060225	"NYK@WAS"	"NYK"	240	5	7	18	26	14	9	0	27	31	89	-1
20131223	"IND@BRK"	"BRK"	240	6	26	9	27	21	6	4	18	19	86	1
20210312	"IND@LAL"	"IND"	240	8	36	10	34	22	7	4	16	27	100	-1
20121108	"OKC@CHI"	"OKC"	240	5	13	8	30	23	10	8	22	19	97	-1
20180209	"CLE@ATL"	"CLE"	240	15	35	6	37	31	8	4	9	17	123	-1
20190409	"PHX@DAL"	"PHX"	240	13	35	5	33	21	13	6	14	22	109	-1
20131031	"GSW@LAC"	"GSW"	240	12	21	10	23	26	7	2	24	35	115	-1
20130311	"DEN@PHX"	"DEN"	240	3	12	14	31	25	12	2	14	16	108	-1
20141231	"MIA@IND"	"MIA"	240	5	16	8	28	20	5	8	11	24	95	-1
20200224	"MIA@CLE"	"CLE"	265	14	37	13	40	25	8	6	12	20	125	1
20100303	"MIN@DAL"	"DAL"	240	9	17	10	20	23	6	3	12	21	112	1
20070407	"DEN@LAC"	"DEN"	240	7	17	9	28	24	8	7	17	18	96	-1
20051104	"POR@DEN"	"POR"	240	3	13	16	28	20	7	12	18	18	68	-1
20050225	"CLE@IND"	"IND"	240	8	20	11	30	26	8	6	10	17	106	1
20090212	"BOS@DAL"	"BOS"	240	3	10	13	37	24	2	1	19	25	99	-1
20091029	"SAS@CHI"	"SAS"	240	4	21	8	36	15	5	5	13	23	85	-1
20061117	"BRK@IND"	"BRK"	240	6	13	10	33	20	8	4	15	19	100	-1
20150331	"SAS@MIA"	"MIA"	240	5	15	10	23	11	9	4	18	21	81	1
20210327	"CLE@SAC"	"CLE"	240	9	26	7	29	20	11	2	7	13	98	-1
20140113	"HOU@BOS"	"HOU"	240	8	19	10	36	24	6	9	11	16	104	-1
20190125	"NYK@BRK"	"BRK"	240	9	33	18	42	19	5	2	19	21	109	1
20200115	"WAS@CHI"	"CHI"	240	14	38	8	33	26	11	5	15	19	115	1
20120217	"MIN@HOU"	"MIN"	240	5	15	13	31	24	7	8	19	12	111	-1
20121221	"ATL@PHI"	"ATL"	240	9	25	13	24	20	7	3	17	15	80	-1
20090313	"IND@ATL"	"IND"	240	3	10	10	32	16	2	1	6	12	87	-1
20041212	"MIL@PHI"	"MIL"	240	6	14	12	30	21	6	3	7	21	101	-1
20051115	"ATL@SAS"	"SAS"	240	3	9	16	24	22	11	6	9	20	103	1
20150205	"WAS@CHA"	"CHA"	240	6	25	12	38	15	5	15	14	19	94	1
20150322	"WAS@SAC"	"SAC"	240	8	17	4	30	24	12	2	16	17	109	1
20130412	"OKC@POR"	"OKC"	240	9	22	7	33	16	8	9	13	17	106	-1
20120415	"POR@SAC"	"SAC"	240	8	19	14	23	26	8	3	6	12	104	1
20200115	"POR@HOU"	"HOU"	240	16	49	12	38	24	4	4	12	22	107	1
20130102	"MIN@UTZ"	"MIN"	240	2	17	16	25	17	6	12	11	18	84	-1
20191203	"DAL@NOP"	"DAL"	240	19	45	10	41	22	5	8	10	14	118	-1
20181109	"IND@MIA"	"IND"	240	7	20	6	33	20	10	5	18	26	110	-1
20120330	"DET@CHI"	"CHI"	240	2	12	20	33	22	6	10	15	12	83	1
20051117	"ATL@DAL"	"ATL"	240	1	9	15	28	14	4	4	16	21	78	-1
20110114	"CLE@UTZ"	"CLE"	240	9	21	16	27	26	6	8	21	20	99	-1
20091228	"DEN@SAC"	"SAC"	240	7	14	11	37	22	3	4	17	26	106	1
20140403	"SAS@OKC"	"SAS"	240	9	22	13	29	18	5	3	18	18	94	-1
20100414	"MEM@OKC"	"MEM"	240	1	9	11	28	19	7	2	9	17	105	-1
