"season"	"date"	"gameLeague"	"team"	"HT_VT"	"Min"	"Gls"	"Ast"	"PK"	"PKatt"	"CrdY"	"CrdR"
"2017"	20170422	"FA Women's Super League 1"	"Bristol City"	"HT"	990	1	0	0	0	0	0
"2017"	20170422	"FA Women's Super League 1"	"Reading"	"VT"	990	3	2	0	0	0	0
"2017"	20170423	"FA Women's Super League 1"	"Birmingham City"	"HT"	990	0	0	0	0	0	0
"2017"	20170423	"FA Women's Super League 1"	"Sunderland"	"VT"	990	0	0	0	0	0	0
"2017"	20170423	"FA Women's Super League 1"	"Yeovil Town"	"HT"	990	1	0	1	1	1	0
"2017"	20170423	"FA Women's Super League 1"	"Liverpool"	"VT"	990	4	3	1	1	3	0
"2017"	20170428	"FA Women's Super League 1"	"Liverpool"	"HT"	990	4	4	0	0	0	0
"2017"	20170428	"FA Women's Super League 1"	"Reading"	"VT"	990	2	1	0	0	1	0
"2017"	20170503	"FA Women's Super League 1"	"Yeovil Town"	"HT"	990	2	1	0	0	0	0
"2017"	20170503	"FA Women's Super League 1"	"Bristol City"	"VT"	990	2	1	1	1	0	0
"2017"	20170503	"FA Women's Super League 1"	"Manchester City"	"HT"	990	1	1	0	0	0	0
"2017"	20170503	"FA Women's Super League 1"	"Birmingham City"	"VT"	990	1	1	0	0	0	0
"2017"	20170503	"FA Women's Super League 1"	"Reading"	"HT"	990	0	0	0	0	3	0
"2017"	20170503	"FA Women's Super League 1"	"Chelsea"	"VT"	990	4	3	0	0	1	0
"2017"	20170504	"FA Women's Super League 1"	"Arsenal"	"HT"	990	4	3	0	0	0	0
"2017"	20170504	"FA Women's Super League 1"	"Liverpool"	"VT"	990	4	2	0	0	0	0
"2017"	20170506	"FA Women's Super League 1"	"Sunderland"	"HT"	990	1	0	1	1	0	0
"2017"	20170506	"FA Women's Super League 1"	"Bristol City"	"VT"	990	0	0	0	0	0	0
"2017"	20170507	"FA Women's Super League 1"	"Birmingham City"	"HT"	990	0	0	0	0	0	0
"2017"	20170507	"FA Women's Super League 1"	"Liverpool"	"VT"	990	2	1	0	0	0	0
"2017"	20170507	"FA Women's Super League 1"	"Reading"	"HT"	990	2	1	1	1	2	0
"2017"	20170507	"FA Women's Super League 1"	"Manchester City"	"VT"	990	3	1	0	0	1	0
"2017"	20170507	"FA Women's Super League 1"	"Yeovil Town"	"HT"	990	1	0	0	0	0	0
"2017"	20170507	"FA Women's Super League 1"	"Arsenal"	"VT"	990	4	2	2	2	0	0
"2017"	20170509	"FA Women's Super League 1"	"Bristol City"	"HT"	990	0	0	0	0	0	0
"2017"	20170509	"FA Women's Super League 1"	"Manchester City"	"VT"	990	3	2	1	1	0	0
"2017"	20170517	"FA Women's Super League 1"	"Liverpool"	"HT"	990	4	3	0	0	0	0
"2017"	20170517	"FA Women's Super League 1"	"Sunderland"	"VT"	990	0	0	0	0	0	0
"2017"	20170517	"FA Women's Super League 1"	"Chelsea"	"HT"	990	2	2	0	0	2	0
"2017"	20170517	"FA Women's Super League 1"	"Arsenal"	"VT"	990	2	1	0	1	2	0
"2017"	20170517	"FA Women's Super League 1"	"Yeovil Town"	"HT"	990	0	0	0	0	4	0
"2017"	20170517	"FA Women's Super League 1"	"Reading"	"VT"	990	1	1	0	0	4	0
"2017"	20170517	"FA Women's Super League 1"	"Birmingham City"	"HT"	990	2	2	0	0	0	0
"2017"	20170517	"FA Women's Super League 1"	"Bristol City"	"VT"	990	0	0	0	0	1	0
"2017"	20170520	"FA Women's Super League 1"	"Arsenal"	"HT"	990	4	4	0	0	0	0
"2017"	20170520	"FA Women's Super League 1"	"Birmingham City"	"VT"	990	2	2	0	0	1	0
"2017"	20170520	"FA Women's Super League 1"	"Bristol City"	"HT"	990	1	1	0	0	0	0
"2017"	20170520	"FA Women's Super League 1"	"Liverpool"	"VT"	988	1	1	0	0	1	1
"2017"	20170521	"FA Women's Super League 1"	"Manchester City"	"HT"	989	4	2	0	0	0	1
"2017"	20170521	"FA Women's Super League 1"	"Yeovil Town"	"VT"	990	1	0	0	1	0	0
"2017"	20170521	"FA Women's Super League 1"	"Sunderland"	"HT"	990	0	0	0	0	1	0
"2017"	20170521	"FA Women's Super League 1"	"Chelsea"	"VT"	990	7	6	0	1	0	0
"2017"	20170525	"FA Women's Super League 1"	"Manchester City"	"HT"	990	1	1	0	0	0	0
"2017"	20170525	"FA Women's Super League 1"	"Chelsea"	"VT"	990	0	0	0	0	0	0
"2017"	20170528	"FA Women's Super League 1"	"Reading"	"HT"	944	1	0	1	1	2	1
"2017"	20170528	"FA Women's Super League 1"	"Birmingham City"	"VT"	990	1	1	0	0	3	0
"2017"	20170528	"FA Women's Super League 1"	"Manchester City"	"HT"	990	0	0	0	0	0	0
"2017"	20170528	"FA Women's Super League 1"	"Arsenal"	"VT"	990	1	0	0	0	1	0
"2017"	20170528	"FA Women's Super League 1"	"Yeovil Town"	"HT"	990	1	1	0	1	0	0
"2017"	20170528	"FA Women's Super League 1"	"Sunderland"	"VT"	990	2	0	0	0	0	0
"2017"	20170528	"FA Women's Super League 1"	"Chelsea"	"HT"	990	7	6	0	0	0	0
"2017"	20170528	"FA Women's Super League 1"	"Liverpool"	"VT"	990	0	0	0	0	1	0
"2017"	20170531	"FA Women's Super League 1"	"Birmingham City"	"HT"	990	0	0	0	0	1	0
"2017"	20170531	"FA Women's Super League 1"	"Yeovil Town"	"VT"	990	0	0	0	0	1	0
"2017"	20170531	"FA Women's Super League 1"	"Arsenal"	"HT"	990	1	1	0	0	0	0
"2017"	20170531	"FA Women's Super League 1"	"Reading"	"VT"	990	0	0	0	0	2	0
"2017"	20170531	"FA Women's Super League 1"	"Bristol City"	"HT"	990	0	0	0	0	0	0
"2017"	20170531	"FA Women's Super League 1"	"Chelsea"	"VT"	990	4	3	0	0	1	0
"2017"	20170531	"FA Women's Super League 1"	"Sunderland"	"HT"	990	0	0	0	0	0	0
"2017"	20170531	"FA Women's Super League 1"	"Manchester City"	"VT"	990	1	1	0	0	0	0
