"date"	"season"	"team"	"VorH"	"team_goals"	"team_pim"	"team_shots"	"team_powerPlayGoals"	"team_powerPlayOpportunities"	"team_blocked"	"team_takeaways"	"team_giveaways"	"team_hits"	"assists"	"goals"	"shots"	"powerPlayGoals"	"powerPlayAssists"	"penaltyMinutes"	"faceOffWins"	"faceoffTaken"	"shortHandedGoals"	"shortHandedAssists"
20210113	20202021	"Pittsburgh Penguins"	"VT"	3	6	34	1	3	11	8	10	23	3	3	34	1	0	4	21	50	0	0
20210113	20202021	"Philadelphia Flyers"	"HT"	6	6	27	2	3	13	6	10	31	11	6	27	2	4	6	29	50	0	0
20210113	20202021	"Chicago Blackhawks"	"VT"	1	8	23	1	3	7	4	1	14	2	1	23	1	2	8	28	57	0	0
20210113	20202021	"Tampa Bay Lightning"	"HT"	5	6	33	2	4	12	4	1	16	10	5	33	2	4	6	29	57	0	0
20210113	20202021	"Montréal Canadiens"	"VT"	4	13	32	2	3	22	6	13	32	8	4	32	2	4	13	29	63	0	0
20210113	20202021	"Toronto Maple Leafs"	"HT"	5	11	34	2	4	17	5	9	14	8	5	34	2	3	9	34	63	0	0
20210113	20202021	"Vancouver Canucks"	"VT"	5	8	35	0	2	14	5	6	19	8	5	35	0	0	8	27	56	0	0
20210113	20202021	"Edmonton Oilers"	"HT"	3	4	31	0	4	17	4	10	18	5	3	31	0	0	4	29	56	0	0
20210113	20202021	"St. Louis Blues"	"VT"	4	8	32	0	2	19	3	2	20	7	4	32	0	0	8	26	57	0	0
20210113	20202021	"Colorado Avalanche"	"HT"	1	4	27	1	4	11	6	7	21	2	1	27	1	2	4	31	57	0	0
20210114	20202021	"Washington Capitals"	"VT"	6	11	28	1	2	11	5	7	19	9	6	28	1	2	11	29	57	0	0
20210114	20202021	"Buffalo Sabres"	"HT"	4	9	26	1	3	7	6	9	20	8	4	26	1	2	9	28	57	0	0
20210114	20202021	"Boston Bruins"	"VT"	2	10	37	2	5	7	3	6	13	4	2	37	2	4	10	31	54	0	0
20210114	20202021	"New Jersey Devils"	"HT"	2	10	22	0	5	14	12	19	26	3	2	22	0	0	8	23	54	0	0
20210114	20202021	"New York Islanders"	"VT"	4	10	33	2	8	20	6	6	25	6	4	33	2	4	10	30	51	0	0
20210114	20202021	"New York Rangers"	"HT"	0	18	24	0	3	11	7	5	24	0	0	24	0	0	16	21	51	0	0
20210114	20202021	"Carolina Hurricanes"	"VT"	3	9	43	1	3	9	4	8	27	5	3	43	1	2	9	34	57	0	0
20210114	20202021	"Detroit Red Wings"	"HT"	0	11	14	0	2	16	2	16	19	0	0	14	0	0	11	23	57	0	0
20210114	20202021	"Columbus Blue Jackets"	"VT"	1	6	30	0	2	15	8	1	18	0	1	30	0	0	6	34	63	0	0
20210114	20202021	"Nashville Predators"	"HT"	3	4	35	0	3	20	2	5	16	5	3	35	0	0	4	29	63	0	0
20210114	20202021	"Calgary Flames"	"VT"	3	10	26	1	3	18	5	11	22	6	3	26	1	2	8	25	55	0	0
20210114	20202021	"Winnipeg Jets"	"HT"	4	8	34	1	4	14	8	11	21	7	4	34	1	2	6	30	55	0	0
20210114	20202021	"Vancouver Canucks"	"VT"	2	18	40	0	5	10	11	11	24	3	2	40	0	0	18	30	56	0	0
20210114	20202021	"Edmonton Oilers"	"HT"	5	20	46	2	4	29	8	12	37	9	5	46	2	4	20	26	56	0	0
20210114	20202021	"San Jose Sharks"	"VT"	3	8	35	1	4	22	1	8	18	6	3	35	1	2	8	29	64	0	0
20210114	20202021	"Arizona Coyotes"	"HT"	3	8	37	1	4	13	6	11	21	6	3	37	1	2	8	35	64	0	0
20210114	20202021	"Anaheim Ducks"	"VT"	2	2	22	0	1	13	7	1	29	2	2	22	0	0	2	33	57	0	0
20210114	20202021	"Vegas Golden Knights"	"HT"	5	2	29	0	1	21	7	9	30	9	5	29	0	0	2	24	57	0	0
20210114	20202021	"Minnesota Wild"	"VT"	4	8	27	0	6	7	1	2	22	5	4	27	0	0	8	24	62	0	0
20210114	20202021	"Los Angeles Kings"	"HT"	3	12	34	1	4	12	3	8	18	5	3	34	1	2	10	38	62	0	0
20210115	20202021	"Washington Capitals"	"VT"	2	10	21	0	0	7	1	5	27	2	2	21	0	0	10	23	49	0	0
20210115	20202021	"Buffalo Sabres"	"HT"	1	0	31	0	5	8	3	7	15	2	1	31	0	0	0	26	49	0	0
20210115	20202021	"Pittsburgh Penguins"	"VT"	2	12	33	1	5	11	6	5	31	4	2	33	1	2	10	27	50	0	0
20210115	20202021	"Philadelphia Flyers"	"HT"	5	10	20	1	6	5	4	8	25	10	5	20	1	2	10	23	50	0	0
20210115	20202021	"Chicago Blackhawks"	"VT"	2	6	37	1	4	6	1	2	8	3	2	37	1	2	4	24	48	0	0
20210115	20202021	"Tampa Bay Lightning"	"HT"	5	8	37	0	3	8	3	3	14	9	5	37	0	0	8	24	48	0	0
20210115	20202021	"Toronto Maple Leafs"	"VT"	3	22	23	2	5	10	4	6	12	4	3	23	2	2	20	32	58	0	0
20210115	20202021	"Ottawa Senators"	"HT"	5	12	24	1	5	19	9	9	33	10	5	24	1	2	12	26	58	0	0
20210115	20202021	"St. Louis Blues"	"VT"	0	16	21	0	4	7	10	6	21	0	0	21	0	0	16	33	66	0	0
20210115	20202021	"Colorado Avalanche"	"HT"	8	10	38	5	7	10	16	2	21	12	8	38	5	7	10	33	66	0	0
20210116	20202021	"Boston Bruins"	"VT"	1	13	28	0	2	10	5	6	15	1	1	28	0	0	11	37	57	1	1
20210116	20202021	"New Jersey Devils"	"HT"	2	11	31	0	3	7	6	13	23	4	2	31	0	0	11	20	57	0	0
20210116	20202021	"New York Islanders"	"VT"	0	26	23	0	4	20	8	9	31	0	0	23	0	0	26	31	56	0	0
20210116	20202021	"New York Rangers"	"HT"	5	8	32	1	8	6	13	15	22	6	5	32	1	2	8	25	56	0	0
20210116	20202021	"Carolina Hurricanes"	"VT"	2	4	31	1	5	9	1	4	23	3	2	31	1	2	4	29	62	0	0
20210116	20202021	"Detroit Red Wings"	"HT"	4	10	21	0	2	16	5	9	14	6	4	21	0	0	10	33	62	0	0
20210116	20202021	"Columbus Blue Jackets"	"VT"	2	6	44	0	2	17	3	4	11	4	2	44	0	0	6	26	57	0	0
20210116	20202021	"Nashville Predators"	"HT"	5	4	33	0	3	10	4	6	16	6	5	33	0	0	2	31	57	0	0
20210116	20202021	"Toronto Maple Leafs"	"VT"	3	10	40	1	4	6	5	8	15	5	3	40	1	2	10	35	56	0	0
20210116	20202021	"Ottawa Senators"	"HT"	2	8	19	0	5	21	8	14	30	4	2	19	0	0	8	21	56	0	0
20210116	20202021	"Vancouver Canucks"	"VT"	0	12	32	0	4	11	7	9	11	0	0	32	0	0	12	36	60	0	0
20210116	20202021	"Calgary Flames"	"HT"	3	8	35	3	6	14	8	7	16	6	3	35	3	6	8	24	60	0	0
20210116	20202021	"Montréal Canadiens"	"VT"	5	6	36	1	2	21	3	12	34	6	5	36	1	2	6	21	53	1	0
20210116	20202021	"Edmonton Oilers"	"HT"	1	4	35	0	3	11	6	16	32	2	1	35	0	0	4	32	53	0	0
20210116	20202021	"San Jose Sharks"	"VT"	3	10	34	2	4	10	7	5	23	4	3	34	2	4	10	19	47	0	0
20210116	20202021	"Arizona Coyotes"	"HT"	5	12	26	1	3	15	6	9	22	8	5	26	1	1	12	28	47	0	0
20210116	20202021	"Anaheim Ducks"	"VT"	1	2	22	0	2	17	4	3	23	2	1	22	0	0	2	23	46	0	0
20210116	20202021	"Vegas Golden Knights"	"HT"	2	4	33	0	1	18	3	2	29	3	2	33	0	0	4	23	46	0	0
20210116	20202021	"Minnesota Wild"	"VT"	4	12	44	0	5	8	0	3	17	8	4	44	0	0	12	36	66	0	0
20210116	20202021	"Los Angeles Kings"	"HT"	3	12	33	0	5	14	2	16	18	5	3	33	0	0	10	30	66	0	0
20210117	20202021	"Chicago Blackhawks"	"VT"	2	8	27	1	3	4	4	6	13	4	2	27	1	2	6	28	60	0	0
20210117	20202021	"Florida Panthers"	"HT"	5	6	29	1	4	13	2	5	8	8	5	29	1	2	6	32	60	0	0
20210117	20202021	"Washington Capitals"	"VT"	3	10	23	1	4	9	4	9	46	4	3	23	1	2	10	30	64	0	0
20210117	20202021	"Pittsburgh Penguins"	"HT"	3	8	27	0	5	10	8	6	33	5	3	27	0	0	6	34	64	0	0
20210118	20202021	"Boston Bruins"	"VT"	0	12	27	0	3	12	2	10	26	0	0	27	0	0	12	27	55	0	0
20210118	20202021	"New York Islanders"	"HT"	1	8	17	0	5	17	7	9	31	2	1	17	0	0	6	28	55	0	0
20210118	20202021	"Buffalo Sabres"	"VT"	6	2	37	2	4	17	2	6	28	9	6	37	2	4	2	35	62	0	0
20210118	20202021	"Philadelphia Flyers"	"HT"	1	8	22	0	1	12	2	11	24	2	1	22	0	0	6	27	62	0	0
20210118	20202021	"Columbus Blue Jackets"	"VT"	3	24	29	0	1	11	2	4	11	4	3	29	0	0	24	25	61	0	0
20210118	20202021	"Detroit Red Wings"	"HT"	2	22	37	0	2	15	5	13	14	3	2	37	0	0	22	36	61	0	0
20210118	20202021	"San Jose Sharks"	"VT"	4	6	26	2	3	10	5	5	8	8	4	26	2	4	6	32	63	0	0
20210118	20202021	"St. Louis Blues"	"HT"	5	6	33	0	3	3	4	1	13	9	5	33	0	0	6	31	63	0	0
20210118	20202021	"Carolina Hurricanes"	"VT"	4	10	24	1	4	12	2	6	10	6	4	24	1	2	10	15	45	0	0
20210118	20202021	"Nashville Predators"	"HT"	2	8	33	1	5	17	1	6	13	4	2	33	1	2	8	30	45	0	0
20210118	20202021	"Winnipeg Jets"	"VT"	1	4	28	0	4	11	6	13	31	2	1	28	0	0	4	17	48	0	0
20210118	20202021	"Toronto Maple Leafs"	"HT"	3	10	38	1	1	10	10	12	25	6	3	38	1	2	10	31	48	0	0
20210118	20202021	"Vancouver Canucks"	"VT"	2	14	27	0	4	12	6	9	14	1	2	27	0	0	14	23	49	1	0
20210118	20202021	"Calgary Flames"	"HT"	5	8	32	2	7	8	5	17	10	5	5	32	2	1	8	26	49	0	0
20210118	20202021	"Montréal Canadiens"	"VT"	3	14	34	1	5	9	2	3	31	5	3	34	1	2	14	24	54	1	1
20210118	20202021	"Edmonton Oilers"	"HT"	1	10	26	0	7	13	3	8	17	0	1	26	0	0	10	30	54	1	0
20210118	20202021	"Arizona Coyotes"	"VT"	2	10	32	1	5	13	7	4	30	2	2	32	1	2	10	37	72	1	0
20210118	20202021	"Vegas Golden Knights"	"HT"	4	10	28	0	5	20	5	5	21	6	4	28	0	0	10	35	72	1	0
20210118	20202021	"Minnesota Wild"	"VT"	0	6	34	0	5	7	4	2	21	0	0	34	0	0	6	28	60	0	0
20210118	20202021	"Anaheim Ducks"	"HT"	1	12	27	0	2	15	4	5	26	2	1	27	0	0	12	32	60	0	0
20210119	20202021	"New Jersey Devils"	"VT"	4	12	28	1	2	18	7	10	21	6	4	28	1	2	10	29	57	0	0
20210119	20202021	"New York Rangers"	"HT"	3	4	50	2	6	10	6	19	25	6	3	50	2	4	4	28	57	0	0
20210119	20202021	"Buffalo Sabres"	"VT"	0	4	40	0	3	7	4	5	18	0	0	40	0	0	4	30	62	0	0
20210119	20202021	"Philadelphia Flyers"	"HT"	3	6	30	0	2	16	7	12	37	4	3	30	0	0	6	32	62	0	0
20210119	20202021	"Chicago Blackhawks"	"VT"	4	8	34	2	2	13	5	2	21	8	4	34	2	4	8	36	66	0	0
20210119	20202021	"Florida Panthers"	"HT"	5	4	28	2	4	13	5	7	16	10	5	28	2	4	4	30	66	0	0
20210119	20202021	"Washington Capitals"	"VT"	4	6	26	0	2	15	2	4	54	6	4	26	0	0	6	23	62	0	0
20210119	20202021	"Pittsburgh Penguins"	"HT"	5	4	30	2	3	17	2	4	37	8	5	30	2	4	4	39	62	1	0
20210119	20202021	"Columbus Blue Jackets"	"VT"	2	2	24	0	2	17	2	10	15	4	2	24	0	0	2	15	42	0	0
20210119	20202021	"Detroit Red Wings"	"HT"	3	4	27	1	1	10	3	11	12	5	3	27	1	2	2	27	42	0	0
20210119	20202021	"Winnipeg Jets"	"VT"	4	10	28	1	5	8	4	11	25	8	4	28	1	2	10	26	57	0	0
20210119	20202021	"Ottawa Senators"	"HT"	3	10	41	2	5	17	11	9	26	6	3	41	2	4	10	31	57	0	0
20210119	20202021	"Colorado Avalanche"	"VT"	3	6	24	2	6	14	2	4	12	6	3	24	2	4	6	28	54	0	0
