"date","gameID","team","VorH","bat_runs","bat_homeRuns","bat_strikeOuts","bat_baseOnBalls","pitch_runs","pitch_homeRuns","pitch_strikeOuts","pitch_baseOnBalls"
20210401,634615,"Los Angeles Dodgers","V",5,0,6,8,8,0,4,3
20210401,634615,"Colorado Rockies","H",8,0,4,3,5,0,6,8
20210401,634618,"Arizona Diamondbacks","V",7,4,12,1,8,2,10,5
20210401,634618,"San Diego Padres","H",8,2,10,5,7,4,12,1
20210401,634622,"Atlanta Braves","V",2,1,10,2,3,0,13,4
20210401,634622,"Philadelphia Phillies","H",3,0,13,4,2,1,10,2
20210401,634625,"San Francisco Giants","V",7,4,7,4,8,0,9,9
20210401,634625,"Seattle Mariners","H",8,0,9,9,7,4,7,4
20210401,634630,"Texas Rangers","V",10,0,16,9,14,3,8,8
20210401,634630,"Kansas City Royals","H",14,3,8,8,10,0,16,9
20210401,634634,"Pittsburgh Pirates","V",5,1,10,11,3,0,13,4
20210401,634634,"Chicago Cubs","H",3,0,13,4,5,1,10,11
20210401,634636,"St. Louis Cardinals","V",11,2,7,3,6,2,8,5
20210401,634636,"Cincinnati Reds","H",6,2,8,5,11,2,7,3
20210401,634638,"Minnesota Twins","V",5,1,17,7,6,0,9,2
20210401,634638,"Milwaukee Brewers","H",6,0,9,2,5,1,17,7
20210401,634640,"Houston Astros","V",8,2,5,6,1,0,10,3
20210401,634640,"Oakland Athletics","H",1,0,10,3,8,2,5,6
20210401,634642,"Toronto Blue Jays","V",3,1,13,2,2,1,13,6
20210401,634642,"New York Yankees","H",2,1,13,6,3,1,13,2
20210401,634645,"Cleveland Indians","V",2,1,5,6,3,1,14,5
20210401,634645,"Detroit Tigers","H",3,1,14,5,2,1,5,6
20210401,634647,"New York Mets","V",5,2,6,0,1,0,8,7
20210401,634647,"Washington Nationals","H",1,0,8,7,5,2,6,0
20210401,634652,"Tampa Bay Rays","V",1,1,12,3,0,0,9,1
20210401,634652,"Miami Marlins","H",0,0,9,1,1,1,12,3
20210401,634655,"Chicago White Sox","V",3,1,10,2,4,1,10,4
20210401,634655,"Los Angeles Angels","H",4,1,10,4,3,1,10,2
20210402,634576,"Arizona Diamondbacks","V",2,1,12,2,4,1,8,7
20210402,634576,"San Diego Padres","H",4,1,8,7,2,1,12,2
20210402,634578,"San Francisco Giants","V",6,2,13,4,3,0,12,4
20210402,634578,"Seattle Mariners","H",3,0,12,4,6,2,13,4
20210402,634602,"Tampa Bay Rays","V",6,3,7,3,4,0,7,3
20210402,634602,"Miami Marlins","H",4,0,7,3,6,3,7,3
20210402,634605,"Houston Astros","V",9,2,11,5,5,1,7,3
20210402,634605,"Oakland Athletics","H",5,1,7,3,9,2,11,5
20210402,634631,"Chicago White Sox","V",12,2,11,5,8,2,12,5
20210402,634631,"Los Angeles Angels","H",8,2,12,5,12,2,11,5
20210402,634653,"Los Angeles Dodgers","V",11,0,7,2,6,4,13,2
20210402,634653,"Colorado Rockies","H",6,4,13,2,11,0,7,2
20210403,634573,"Cleveland Indians","V",2,1,6,4,5,0,6,5
20210403,634573,"Detroit Tigers","H",5,0,6,5,2,1,6,4
20210403,634575,"Minnesota Twins","V",2,1,13,0,0,0,17,1
20210403,634575,"Milwaukee Brewers","H",0,0,17,1,2,1,13,0
20210403,634577,"Baltimore Orioles","V",4,0,11,1,2,0,8,2
20210403,634577,"Boston Red Sox","H",2,0,8,2,4,0,11,1
20210403,634580,"Atlanta Braves","V",0,0,14,0,4,0,10,4
20210403,634580,"Philadelphia Phillies","H",4,0,10,4,0,0,14,0
20210403,634596,"Tampa Bay Rays","V",7,1,6,1,12,2,10,5
20210403,634596,"Miami Marlins","H",12,2,10,5,7,1,6,1
20210403,634604,"Texas Rangers","V",4,1,10,3,11,2,4,4
20210403,634604,"Kansas City Royals","H",11,2,4,4,4,1,10,3
20210403,634620,"New York Mets","V",4,2,8,0,8,5,4,3
20210403,634620,"Washington Nationals","H",8,5,4,3,4,2,8,0
20210403,634623,"Arizona Diamondbacks","V",0,0,11,0,7,1,8,6
20210403,634623,"San Diego Padres","H",7,1,8,6,0,0,11,0
20210403,634629,"Houston Astros","V",9,1,6,2,1,0,11,5
20210403,634629,"Oakland Athletics","H",1,0,11,5,9,1,6,2
20210403,634633,"Los Angeles Dodgers","V",6,1,14,4,5,2,6,3
20210403,634633,"Colorado Rockies","H",5,2,6,3,6,1,14,4
20210403,634639,"San Francisco Giants","V",0,0,12,2,4,2,8,3
20210403,634639,"Seattle Mariners","H",4,2,8,3,0,0,12,2
20210403,634643,"Pittsburgh Pirates","V",1,0,12,1,5,2,12,4
20210403,634643,"Chicago Cubs","H",5,2,12,4,1,0,12,1
20210403,634644,"Toronto Blue Jays","V",3,1,11,3,5,1,10,6
20210403,634644,"New York Yankees","H",5,1,10,6,3,1,11,3
20210403,634646,"Chicago White Sox","V",3,1,10,3,5,1,11,2
20210403,634646,"Los Angeles Angels","H",5,1,11,2,3,1,10,3
20210403,634654,"St. Louis Cardinals","V",6,3,13,5,9,2,8,3
20210403,634654,"Cincinnati Reds","H",9,2,8,3,6,3,13,5
20210404,634556,"New York Mets","V",11,3,8,2,9,1,7,5
20210404,634556,"Washington Nationals","H",9,1,7,5,11,3,8,2
20210404,634557,"Los Angeles Dodgers","V",4,1,8,9,2,0,10,2
20210404,634557,"Colorado Rockies","H",2,0,10,2,4,1,8,9
20210404,634560,"St. Louis Cardinals","V",1,0,9,2,12,2,5,5
20210404,634560,"Cincinnati Reds","H",12,2,5,5,1,0,9,2
20210404,634572,"Arizona Diamondbacks","V",3,0,8,6,1,1,7,5
20210404,634572,"San Diego Padres","H",1,1,7,5,3,0,8,6
20210404,634593,"Texas Rangers","V",7,2,9,4,3,1,14,0
20210404,634593,"Kansas City Royals","H",3,1,14,0,7,2,9,4
20210404,634597,"Minnesota Twins","V",8,2,7,5,2,1,10,3
20210404,634597,"Milwaukee Brewers","H",2,1,10,3,8,2,7,5
20210404,634607,"Toronto Blue Jays","V",3,2,5,2,1,0,6,2
