"season"	"date"	"gameLeague"	"team"	"HT_VT"	"Min"	"Gls"	"Ast"	"PK"	"PKatt"	"CrdY"	"CrdR"
"2017"	20170415	"National Women's Soccer League"	"Washington Spirit"	"HT"	990	0	0	0	0	2	0
"2017"	20170415	"National Women's Soccer League"	"North Carolina Courage"	"VT"	990	1	1	0	0	0	0
"2017"	20170415	"National Women's Soccer League"	"Portland Thorns FC"	"HT"	990	2	1	1	1	0	0
"2017"	20170415	"National Women's Soccer League"	"Orlando Pride"	"VT"	991	0	0	0	0	0	0
"2017"	20170415	"National Women's Soccer League"	"Houston Dash"	"HT"	990	2	2	0	0	1	0
"2017"	20170415	"National Women's Soccer League"	"Chicago Red Stars"	"VT"	990	0	0	0	0	1	0
"2017"	20170415	"National Women's Soccer League"	"Seattle Reign FC"	"HT"	990	1	0	1	1	1	0
"2017"	20170415	"National Women's Soccer League"	"Sky Blue FC"	"VT"	990	1	0	1	1	0	0
"2017"	20170416	"National Women's Soccer League"	"FC Kansas City"	"HT"	990	2	2	0	0	0	0
"2017"	20170416	"National Women's Soccer League"	"Boston Breakers"	"VT"	990	0	0	0	0	2	0
"2017"	20170422	"National Women's Soccer League"	"Chicago Red Stars"	"HT"	990	1	1	0	1	0	0
"2017"	20170422	"National Women's Soccer League"	"FC Kansas City"	"VT"	990	0	0	0	0	0	0
"2017"	20170422	"National Women's Soccer League"	"Seattle Reign FC"	"HT"	990	5	2	0	0	1	0
"2017"	20170422	"National Women's Soccer League"	"Houston Dash"	"VT"	990	1	0	0	0	0	0
"2017"	20170422	"National Women's Soccer League"	"North Carolina Courage"	"HT"	990	1	1	0	1	2	0
"2017"	20170422	"National Women's Soccer League"	"Portland Thorns FC"	"VT"	990	0	0	0	0	0	0
"2017"	20170422	"National Women's Soccer League"	"Orlando Pride"	"HT"	991	1	1	0	0	1	0
"2017"	20170422	"National Women's Soccer League"	"Washington Spirit"	"VT"	990	1	0	0	0	2	0
"2017"	20170423	"National Women's Soccer League"	"Boston Breakers"	"HT"	990	1	1	0	0	1	0
"2017"	20170423	"National Women's Soccer League"	"Sky Blue FC"	"VT"	990	0	0	0	0	0	0
"2017"	20170429	"National Women's Soccer League"	"Washington Spirit"	"HT"	990	0	0	0	0	0	0
"2017"	20170429	"National Women's Soccer League"	"Houston Dash"	"VT"	990	1	1	0	0	1	0
"2017"	20170429	"National Women's Soccer League"	"North Carolina Courage"	"HT"	990	3	1	1	1	3	0
"2017"	20170429	"National Women's Soccer League"	"Orlando Pride"	"VT"	991	1	1	0	0	1	0
"2017"	20170429	"National Women's Soccer League"	"Boston Breakers"	"HT"	990	3	2	0	0	2	0
"2017"	20170429	"National Women's Soccer League"	"Seattle Reign FC"	"VT"	990	0	0	0	0	2	0
"2017"	20170429	"National Women's Soccer League"	"Portland Thorns FC"	"HT"	990	1	0	1	1	2	0
"2017"	20170429	"National Women's Soccer League"	"Chicago Red Stars"	"VT"	990	0	0	0	0	2	0
