"season"	"date"	"regsea"	"VTabbr"	"VT"	"HTabbr"	"HT"	"HTTZ"	"min"	"pace"	"refs"	"VTscore"	"HTscore"
"2015"	20150605	TRUE	"IND"	"Indiana Fever"	"CHI"	"Chicago Sky"	2	200	98.1	"Billy Smith, Jeffrey Smith, Eric Brewton"	72	95
"2015"	20150605	TRUE	"WAS"	"Washington Mystics"	"CON"	"Connecticut Sun"	3	200	82.1	"Daryl Humphrey, Don Hudson, Michael Price"	73	68
"2015"	20150605	TRUE	"TUL"	"Tulsa Shock"	"MIN"	"Minnesota Lynx"	2	182	95.1	"Tom Mauer, Denise Brooks, Tony Dawkins"	75	83
"2015"	20150605	TRUE	"ATL"	"Atlanta Dream"	"NYL"	"New York Liberty"	3	200	96.8	"Lamont Simpson, Tim Greene, Tiara Cruse"	73	82
"2015"	20150605	TRUE	"SAS"	"San Antonio Stars"	"PHO"	"Phoenix Mercury"	1	200	88.8	"Roy Gulbeyan, Maj Forsberg, Jeff Wooten"	71	76
"2015"	20150606	TRUE	"MIN"	"Minnesota Lynx"	"IND"	"Indiana Fever"	3	200	90.3	"Tiara Cruse, Tim Greene, Lamont Simpson"	75	69
"2015"	20150606	TRUE	"LAS"	"Los Angeles Sparks"	"SEA"	"Seattle Storm"	0	200	85	"Kurt Walker, Tiffany Bird, Maj Forsberg"	61	86
"2015"	20150606	TRUE	"CHI"	"Chicago Sky"	"TUL"	"Tulsa Shock"	2	200	96.6	"---"	93	101
"2015"	20150606	TRUE	"NYL"	"New York Liberty"	"WAS"	"Washington Mystics"	3	200	92.6	"Denise Brooks, Kevin Sparrock, Tom Mauer"	62	67
"2015"	20150607	TRUE	"CON"	"Connecticut Sun"	"ATL"	"Atlanta Dream"	3	200	94.8	"Eric Brewton, Billy Smith, Lamont Simpson"	75	70
"2015"	20150609	TRUE	"IND"	"Indiana Fever"	"NYL"	"New York Liberty"	3	200	90.6	"Tony Dawkins, Michael Price, Don Hudson"	79	86
"2015"	20150609	TRUE	"SEA"	"Seattle Storm"	"TUL"	"Tulsa Shock"	2	200	91	"---"	45	68
"2015"	20150611	TRUE	"SAS"	"San Antonio Stars"	"ATL"	"Atlanta Dream"	3	200	88.7	"Don Hudson, Sue Blauch, Kevin Sparrock"	69	72
